G   Best    Average   STD
1 0.228952 -3999.91 4899.05
2 0.290653 0.17817 0.0781296
3 0.318638 0.262384 0.053384
4 0.344485 0.308276 0.0210422
5 0.344485 0.308276 0.0210422
6 0.344485 0.308276 0.0210422
7 0.344485 0.308276 0.0210422
8 0.344485 0.308276 0.0210422
9 0.344485 0.308276 0.0210422
10 0.344485 0.308276 0.0210422
11 0.344485 0.308276 0.0210422
12 0.344485 0.308276 0.0210422
13 0.344485 0.308276 0.0210422
14 0.344485 0.308276 0.0210422
15 0.344485 0.308276 0.0210422
16 0.344485 0.308276 0.0210422
17 0.344485 0.308276 0.0210422
18 0.385718 0.327807 0.0343373
19 0.385718 0.327807 0.0343373
20 0.385718 0.33202 0.0306104
21 0.385718 0.33202 0.0306104
22 0.385718 0.33202 0.0306104
23 0.385718 0.33202 0.0306104
24 0.385718 0.337932 0.0263204
25 0.385718 0.337932 0.0263204
26 0.385718 0.337932 0.0263204
27 0.385718 0.337932 0.0263204
28 0.385718 0.337932 0.0263204
29 0.385718 0.344068 0.02284
30 0.385718 0.344068 0.02284
31 0.385718 0.344068 0.02284
32 0.385718 0.344068 0.02284
33 0.385718 0.344068 0.02284
34 0.385718 0.344068 0.02284
35 0.385718 0.344068 0.02284
36 0.385718 0.344068 0.02284
37 0.385718 0.344068 0.02284
38 0.385718 0.344068 0.02284
39 0.385718 0.344068 0.02284
40 0.385718 0.344068 0.02284
41 0.385718 0.344068 0.02284
42 0.385718 0.344068 0.02284
43 0.385718 0.345776 0.0211295
44 0.385718 0.345776 0.0211295
45 0.385718 0.345776 0.0211295
46 0.385718 0.345776 0.0211295
47 0.385718 0.345776 0.0211295
48 0.385718 0.345776 0.0211295
49 0.385718 0.34939 0.0190862
50 0.385718 0.34939 0.0190862
51 0.385718 0.34939 0.0190862
52 0.385718 0.357899 0.0175689
53 0.385718 0.357899 0.0175689
54 0.385718 0.359505 0.0164071
55 0.385718 0.359505 0.0164071
56 0.385718 0.359505 0.0164071
57 0.385718 0.359505 0.0164071
58 0.385718 0.359505 0.0164071
59 0.385718 0.359505 0.0164071
60 0.385718 0.359505 0.0164071
61 0.385718 0.359505 0.0164071
62 0.385718 0.363702 0.0146143
63 0.385718 0.363702 0.0146143
64 0.385718 0.363702 0.0146143
65 0.385718 0.363702 0.0146143
66 0.385718 0.366594 0.0118444
67 0.385718 0.366594 0.0118444
68 0.385718 0.366594 0.0118444
69 0.385718 0.366594 0.0118444
70 0.385718 0.366594 0.0118444
71 0.385718 0.366594 0.0118444
72 0.385718 0.366594 0.0118444
73 0.385718 0.366594 0.0118444
74 0.385718 0.366594 0.0118444
75 0.385718 0.366594 0.0118444
76 0.385718 0.366594 0.0118444
77 0.385718 0.366594 0.0118444
78 0.385718 0.366594 0.0118444
79 0.385718 0.366594 0.0118444
80 0.385718 0.366594 0.0118444
81 0.385718 0.366594 0.0118444
82 0.385718 0.366594 0.0118444
83 0.385718 0.366594 0.0118444
84 0.385718 0.366594 0.0118444
85 0.385718 0.366594 0.0118444
86 0.385718 0.366682 0.0117247
87 0.385718 0.366682 0.0117247
88 0.385718 0.366682 0.0117247
89 0.385718 0.366682 0.0117247
90 0.385718 0.366919 0.0114102
91 0.385718 0.367515 0.0106716
92 0.385718 0.367515 0.0106716
93 0.385718 0.367515 0.0106716
94 0.385718 0.367515 0.0106716
95 0.385718 0.367515 0.0106716
96 0.385718 0.367515 0.0106716
97 0.443185 0.385146 0.0302828
98 0.443185 0.385146 0.0302828
99 0.443185 0.385146 0.0302828
100 0.443185 0.385146 0.0302828
